id,screen_area(sq),default_ABC_off(nits),default_100/140(nits),default_35/50(nits),default_12/17(nits),defualt_3/4(nits),default_low_backlight(nits),default_mid_backlight(nits),brightest_ABC_off(nits),brightest_100/140(nits),brightest_35/50(nits),brightest_12/17(nits),brightest_3/4(nits),brightest_low_backlight(nits),brightest_mid_backlight(nits),hdr10_ABC_off(nits),hdr10_100/140(nits),hdr10_35/50(nits),hdr10_12/17(nits),hdr10_3/4(nits),hdr10_low_backlight(nits),hdr10_mid_backlight(nits),default_ABC_off(watts),default_100/140(watts),default_35/50(watts),default_12/17(watts),defualt_3/4(watts),default_low_backlight(watts),default_mid_backlight(watts),brightest_ABC_off(watts),brightest_100/140(watts),brightest_35/50(watts),brightest_12/17(watts),brightest_3/4(watts),brightest_low_backlight(watts),brightest_mid_backlight(watts),hdr10_ABC_off(watts),hdr10_100/140(watts),hdr10_35/50(watts),hdr10_12/17(watts),hdr10_3/4(watts),hdr10_low_backlight(watts),hdr10_mid_backlight(watts),default_a1,default_a2,default_b,brightest_a1,brightest_a2,brightest_b,hdr_a1,hdr_a2,hdr_b
40.0,1277.3125,45.29797056,32.57160538,28.95606843,26.43335592,26.14993893,nan,nan,61.50058986,48.20193985,43.9295034,40.58096431,39.68489284,nan,nan,47.54325885,nan,nan,nan,nan,3.005851957,nan,118.5477833,98.24466667,93.48011667,89.88338334,89.363125,nan,nan,163.8453139,138.7173778,131.124575,124.97885,124.2347833,nan,nan,141.4492167,nan,nan,nan,nan,59.29993333,nan,0.010550896,0.763300002,62.31314876,0.007361163,1.087231275,69.14666113,0,1.844500816,53.75563695
41.0,1778.0,42.2,42.3,33.0,22.2,15.8,nan,nan,80.8,80.7,60.9,36.4,22.9,nan,nan,53.8,53.8,39.5,23.7,15.0,nan,nan,124.3,125.2,109.0,89.6,79.6,nan,nan,212.9,210.4,171.0,127.3,100.5,nan,nan,172.2,172.1,140.2,105.6,85.5,nan,nan,0.002084187,1.597662399,53.60110599,0.001920967,1.705802508,61.16935392,-0.000636638,2.271087649,51.76229724
42.0,1778.0,42.0,41.6,42.0,35.3,32.9,nan,nan,55.4,55.9,55.7,46.6,41.3,nan,nan,39.3,nan,nan,nan,nan,nan,nan,125.2,124.2,122.3,110.9,102.7,nan,nan,168.4,167.5,167.4,145.8,135.5,nan,nan,136.4,nan,nan,nan,nan,nan,nan,-0.170927046,15.14962737,-210.7728063,0.028608833,-0.525898865,108.3534314,0,0,0
43.0,1778.0,48.6,48.8,37.6,31.3,28.3,nan,nan,69.9,69.9,57.2,50.3,46.9,nan,nan,46.9,nan,nan,nan,nan,nan,nan,134.5,133.9,118.0,105.6,98.8,nan,nan,196.6,196.9,169.6,154.5,147.6,nan,nan,155.6,nan,nan,nan,nan,nan,nan,-0.029918099,4.038195618,8.489844934,0.00044927,2.090505702,48.43761808,0,0,0
44.0,1778.0,42.2,28.1,25.0,23.9,23.9,nan,nan,78.0,52.4,47.6,45.2,45.6,nan,nan,43.3,32.0,30.1,27.9,28.1,nan,nan,140.2,111.0,104.6,102.4,102.4,nan,nan,193.3,148.1,139.7,135.6,136.2,nan,nan,168.9,137.9,132.6,126.8,127.1,nan,nan,0.001306768,1.979900318,54.32153528,0.000738733,1.669734152,58.56669722,0.001296736,2.650114519,51.72085179
45.0,1778.0,51.8,59.1,59.3,58.1,58.7,nan,nan,75.1,86.2,85.2,84.8,85.2,nan,nan,18.1,18.2,17.8,17.9,18.0,nan,nan,158.9,175.6,176.5,174.0,174.9,nan,nan,190.3,212.8,211.2,210.4,211.1,nan,nan,82.0,82.1,81.5,81.6,81.9,nan,nan,-0.053979532,8.307062199,-126.5634993,-0.03398709,7.510233911,-182.0312094,-1.428571429,53.02857143,-409.8085714
46.0,1778.9,44.7,44.9,38.4,30.5,25.5,nan,nan,74.0,73.9,64.6,54.6,47.6,nan,nan,52.8,52.3,45.7,38.6,33.5,nan,nan,134.8,135.4,127.2,110.1,100.4,nan,nan,215.6,216.0,196.0,177.5,160.5,nan,nan,180.3,178.9,162.8,144.3,132.6,nan,nan,-0.031612499,4.058548827,16.92016522,-0.005178614,2.700681353,44.22362437,0.003565864,2.175114492,55.52203798
47.0,1778.9,42.1,42.3,37.8,30.0,24.5,nan,nan,68.1,68.7,62.1,51.6,44.1,nan,nan,44.7,45.3,40.9,33.8,28.6,nan,nan,108.4,107.3,100.2,88.6,80.1,nan,nan,169.8,168.8,158.5,140.1,126.7,nan,nan,131.1,131.7,123.6,109.2,100.2,nan,nan,0.006301306,1.136581488,48.57311972,-0.00291037,2.080439844,40.57367347,0.00760321,1.356395668,55.0380572
48.0,1778.9,41.1,32.5,28.6,22.5,21.9,nan,nan,65.9,53.8,46.0,41.9,40.2,nan,nan,45.3,37.5,33.8,30.6,29.3,nan,nan,115.7,101.0,95.7,86.0,85.0,nan,nan,182.6,157.6,145.2,134.9,132.7,nan,nan,148.9,131.1,123.4,116.5,114.2,nan,nan,0.006031412,1.20957701,55.72748539,0.00289349,1.629143361,62.49578135,0.012094504,1.272630218,66.4257588
49.0,1275.7,44.7,34.2,29.5,27.9,25.8,nan,nan,73.0,58.8,52.6,50.8,47.1,nan,nan,50.8,40.6,36.2,35.0,32.5,nan,nan,97.6,84.2,78.9,77.1,74.6,nan,nan,149.1,129.6,122.0,119.7,112.9,nan,nan,121.3,105.6,99.2,97.6,93.6,nan,nan,0.006563603,0.748204604,51.02683295,-0.004359453,1.893113245,34.03219989,0.002539448,1.293771713,49.00498103
50.0,1275.7,48.4,49.2,47.5,35.3,27.9,nan,nan,68.1,68.7,66.4,53.5,43.6,nan,nan,46.7,47.3,45.5,36.5,30.0,nan,nan,109.5,110.3,107.3,91.1,81.4,nan,nan,153.8,154.4,151.6,131.2,114.7,nan,nan,122.3,122.4,119.9,105.4,94.4,nan,nan,0.004384293,1.014705746,49.71709241,-0.00580071,2.24466493,27.82224063,-0.005540971,2.06896322,37.30292147
51.0,1785.9375,69.5761824,59.58254757,21.69984069,14.08187348,14.04349924,nan,nan,66.73043092,nan,nan,nan,nan,3.03287176,nan,60.23025346,49.49655114,13.63371677,7.75520735,7.721971603,nan,nan,329.16,295.0095,195.2745833,169.2611111,169.4664167,nan,nan,404.248,nan,nan,nan,nan,130.2101667,nan,381.1265833,334.7164778,196.9183778,160.7957167,161.6640333,nan,nan,0.002104882,2.642293099,133.1515975,0.0,4.302171652,117.1622318,-0.008993894,4.705759005,127.8589267
52.0,1785.9375,34.0,29.1,12.7,9.6,9.7,nan,nan,43.7,37.8,15.2,10.9,10.9,nan,nan,6.5,21.3,8.9,6.6,6.6,nan,nan,121.1,105.9,60.5,52.1,52.1,nan,nan,154.3,133.1,68.2,56.2,56.1,nan,nan,59.7,135.7,71.8,59.9,60.0,nan,nan,0.010457398,2.366165892,28.41981589,0.0159387,2.098121991,31.71817704,0.003033659,5.062341342,26.49601308
53.0,1785.9375,61.5,48.4,24.6,22.5,20.9,nan,nan,118.2,94.1,48.0,44.0,40.9,nan,nan,27.3,21.4,10.5,9.6,8.9,nan,nan,139.3,115.1,70.2,66.4,63.4,nan,nan,139.2,115.4,70.2,66.4,63.5,nan,nan,137.7,114.2,68.9,65.1,62.1,nan,nan,-0.000702707,1.929792946,23.29634469,0.000173308,0.953051948,24.14515762,-0.00994996,4.469780525,23.09448995
54.0,1785.9375,73.8,49.9,19.9,13.5,13.3,nan,nan,97.5,69.3,24.7,14.9,14.7,nan,nan,48.9,39.8,10.7,6.1,6.1,nan,nan,339.4,265.6,172.3,147.9,148.5,nan,nan,422.9,316.2,188.8,153.4,153.8,nan,nan,423.6,366.3,201.0,160.1,160.6,nan,nan,-0.002859066,3.398935092,103.8742629,0.007670902,2.351336507,119.4835988,-0.014355687,6.812098275,122.2298424
55.0,1785.9375,26.9,nan,nan,nan,nan,1.7,nan,44.3,nan,nan,nan,nan,2.8,nan,19.8,nan,nan,nan,nan,20.1,nan,82.3,nan,nan,nan,nan,22.8,nan,82.4,nan,nan,nan,nan,22.9,nan,105.9,nan,nan,nan,nan,106.4,nan,0.0,2.361111111,18.78611111,0.0,1.43373494,18.88554217,0,1.666666667,72.9
56.0,1785.9375,55.0,54.5,44.9,26.9,16.5,nan,nan,55.2,56.3,44.7,27.2,16.5,nan,nan,37.0,37.8,37.9,38.4,38.3,nan,nan,140.7,141.0,109.2,72.9,55.9,nan,nan,140.8,141.3,109.3,73.4,56.0,nan,nan,176.4,178.3,180.4,182.2,182.1,nan,nan,0.028174914,0.182352916,45.971152,0.021838769,0.574607914,40.88630464,1.537841162,-111.5747598,2199.314535
57.0,1785.9375,73.1,nan,nan,nan,nan,14.6,nan,173.1,nan,nan,nan,nan,34.9,nan,39.2,nan,nan,nan,nan,8.0,nan,260.4,nan,nan,nan,nan,88.7,nan,299.5,nan,nan,nan,nan,96.3,nan,251.9,nan,nan,nan,nan,88.8,nan,0.0,2.935042735,45.84837607,0.0,1.470332851,44.9853835,0,5.227564103,46.97948718
58.0,1785.9375,80.5,62.5,32.9,30.7,28.5,nan,nan,158.5,123.5,64.7,60.0,55.7,nan,nan,42.2,31.5,17.8,16.6,15.3,nan,nan,298.0,250.0,176.1,170.2,165.2,nan,nan,346.4,286.8,194.6,187.1,180.9,nan,nan,313.1,257.5,183.5,177.2,171.3,nan,nan,0.003197443,2.204648743,99.78104311,0.001341131,1.321866033,103.1637331,-0.004501568,5.562142379,86.48707718
59.0,1785.9375,145.3,38.2,20.4,20.5,20.5,nan,nan,188.6,46.5,22.5,22.5,22.5,nan,nan,98.0,25.5,12.1,12.1,12.3,nan,nan,141.7,70.0,56.2,56.3,56.2,nan,nan,171.7,76.1,57.9,57.9,57.9,nan,nan,142.3,72.7,57.4,57.4,57.1,nan,nan,-0.000855838,0.826515291,39.67586126,-0.000515158,0.793879207,40.29851637,-0.002263427,1.23962294,42.55505727
